Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
10-Feb-20, MIL (46-7), TOR (40-14), BOS (37-15), MIA (35-18), PHI (33-21), IND (31-23), BRK (24-28), ORL (23-31), WAS (18-33), CHI (19-35), DET (19-37), CHO (17-36), NYK (17-37), ATL (15-40), CLE (13-40)
11-Feb-20, MIL (46-7), TOR (40-14), BOS (37-16), MIA (35-18), PHI (34-21), IND (31-23), BRK (24-28), ORL (23-31), WAS (19-33), CHI (19-36), DET (19-37), CHO (17-36), NYK (17-37), ATL (15-40), CLE (13-40)
12-Feb-20, MIL (46-8), TOR (40-15), BOS (37-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
13-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
14-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
15-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
16-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
17-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
18-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
19-Feb-20, MIL (46-8), TOR (40-15), BOS (38-16), MIA (35-19), PHI (34-21), IND (32-23), BRK (25-28), ORL (24-31), WAS (20-33), CHI (19-36), DET (19-38) T11, CHO (18-36) T11, NYK (17-38), ATL (15-41), CLE (14-40)
20-Feb-20, MIL (47-8), TOR (40-15), BOS (38-16), MIA (35-20), PHI (35-21), IND (32-23), BRK (25-29), ORL (24-31), WAS (20-33), CHO (19-36), CHI (19-37), DET (19-39), NYK (17-38), ATL (16-41), CLE (14-40)
21-Feb-20, MIL (47-8), TOR (41-15), BOS (39-16), MIA (35-20), PHI (35-21), IND (33-23), BRK (25-29), ORL (24-32), WAS (20-34), CHO (19-36), CHI (19-37), DET (19-39), NYK (17-39), ATL (16-41), CLE (15-40)
22-Feb-20, MIL (48-8), TOR (41-15), BOS (39-16), MIA (36-20), PHI (35-22), IND (33-23), BRK (26-29), ORL (24-32), WAS (20-34), CHO (19-37), CHI (19-38), DET (19-39), NYK (17-39), ATL (17-41), CLE (15-41)
23-Feb-20, MIL (48-8), TOR (42-15), BOS (39-17), MIA (36-20), PHI (35-22), IND (33-24), BRK (26-29), ORL (24-32), WAS (20-35), CHI (20-38), CHO (19-37), DET (19-40), NYK (17-39), ATL (17-41), CLE (15-41)
24-Feb-20, MIL (49-8), TOR (42-15), BOS (39-17), MIA (36-21), PHI (36-22), IND (33-24), BRK (26-30), ORL (25-32), WAS (20-36), CHI (20-38), CHO (19-37), DET (19-40), NYK (17-40), ATL (17-42), CLE (16-41)
25-Feb-20, MIL (50-8), TOR (42-16), BOS (40-17), MIA (36-21), PHI (36-22), IND (34-24), BRK (26-30), ORL (25-32), WAS (20-36), CHI (20-39), CHO (19-38), DET (19-41), NYK (17-40), ATL (17-42), CLE (16-41)
26-Feb-20, MIL (50-8), TOR (42-16), BOS (41-17), MIA (36-22), PHI (36-23), IND (34-24), BRK (26-31), ORL (26-32), WAS (21-36), CHO (20-38), CHI (20-39), DET (19-41), CLE (17-41) T13, NYK (17-41) T13, ATL (17-43)
27-Feb-20, MIL (50-8), TOR (42-16), BOS (41-17), MIA (36-22), PHI (37-23), IND (35-24), BRK (26-31), ORL (26-32), WAS (21-36), CHO (20-38), CHI (20-39), DET (19-41), CLE (17-41), NYK (17-42), ATL (17-43)
28-Feb-20, MIL (51-8), TOR (42-17), BOS (41-17), MIA (37-22), PHI (37-23), IND (35-24), ORL (27-32), BRK (26-32), WAS (21-37), CHO (21-38), CHI (20-39), DET (20-41), ATL (18-43), CLE (17-42) T14, NYK (17-42) T14
29-Feb-20, MIL (51-8), TOR (42-17), BOS (41-18), MIA (38-22), PHI (37-23), IND (36-24), ORL (27-33), BRK (26-33), WAS (21-37), CHO (21-38), CHI (20-40), DET (20-41), ATL (19-43), NYK (18-42), CLE (17-43)
1-Mar-20, MIL (52-8), TOR (42-18), BOS (41-18), MIA (38-22), PHI (37-24), IND (36-24), ORL (27-33), BRK (26-33), WAS (22-37), CHO (21-39), CHI (20-40), DET (20-42), ATL (19-43), NYK (18-42), CLE (17-43)
2-Mar-20, MIL (52-9), TOR (42-18), BOS (41-18), MIA (39-22), IND (37-24) T5, PHI (37-24) T5, ORL (27-34), BRK (26-33), WAS (22-37), CHO (21-39), CHI (21-40), DET (20-42), NYK (19-42), ATL (19-44), CLE (17-44)
3-Mar-20, MIL (52-9), TOR (43-18), BOS (41-19), MIA (39-22), IND (37-24), PHI (37-25), BRK (27-33), ORL (27-34), WAS (22-38), CHI (21-40) T10, CHO (21-40) T10, DET (20-42), NYK (19-42), ATL (19-44), CLE (17-44)
4-Mar-20, MIL (53-9), TOR (43-18), BOS (42-19), MIA (40-22), IND (37-25) T5, PHI (37-25) T5, BRK (27-34), ORL (27-35), WAS (22-39), CHO (21-40), CHI (21-41), DET (20-43), NYK (19-43), ATL (19-44), CLE (17-45)
5-Mar-20, MIL (53-9), TOR (44-18), BOS (42-19), MIA (40-22), PHI (38-25), IND (37-25), BRK (27-34), ORL (27-35), WAS (22-39), CHI (21-41) T10, CHO (21-41) T10, DET (20-43), NYK (19-43), ATL (19-44), CLE (17-45)
6-Mar-20, MIL (53-10), TOR (44-18), BOS (42-20), MIA (40-23), IND (38-25) T5, PHI (38-25) T5, BRK (28-34), ORL (28-35), WAS (23-39), CHO (21-41), CHI (21-42), DET (20-43), NYK (19-44), ATL (19-45), CLE (17-45)
7-Mar-20, MIL (53-10), TOR (44-18), BOS (42-20), MIA (40-23), IND (38-25), PHI (38-26), BRK (28-34), ORL (28-35), WAS (23-39), CHO (22-41), CHI (21-42), DET (20-44), NYK (19-44), ATL (19-46), CLE (18-45)
8-Mar-20, MIL (53-11), TOR (45-18), BOS (42-21), MIA (41-23), IND (39-25), PHI (38-26), BRK (29-34), ORL (29-35), WAS (23-40), CHO (22-41), CHI (21-43), NYK (20-44), DET (20-45), CLE (19-45), ATL (19-46)
9-Mar-20, MIL (53-12), TOR (46-18), BOS (42-21), MIA (41-23), IND (39-25), PHI (38-26), BRK (29-34), ORL (29-35), WAS (23-40), CHO (22-42), CHI (21-43), NYK (20-44), DET (20-45), ATL (20-46), CLE (19-45)
10-Mar-20, MIL (53-12), TOR (46-18), BOS (43-21), MIA (41-23), IND (39-26), PHI (38-26), BRK (30-34), ORL (30-35), WAS (24-40), CHO (22-42), CHI (22-43), DET (20-45) T12, NYK (20-45) T12, ATL (20-46), CLE (19-46)
11-Mar-20, MIL (53-12), TOR (46-18), BOS (43-21), MIA (41-24), IND (39-26) T5, PHI (39-26) T5, BRK (30-34), ORL (30-35), WAS (24-40), CHO (23-42), CHI (22-43), NYK (21-45), DET (20-46), ATL (20-47), CLE (19-46
